,max_depth,learning_rate,n_estimators,train_rmse,valid_rmse
0,2,0.05,50,387.68233065710643,396.1403404209349
1,2,0.05,100,327.37930322698435,336.5063059972333
2,2,0.05,150,302.5062024766828,313.1907346512687
3,2,0.05,300,263.9559654648013,277.26964594613395
4,2,0.05,500,241.84474779459902,257.4972945293165
5,2,0.7,50,234.76829878515534,253.3364214287414
6,2,0.7,100,213.30273352236165,239.1349740784911
7,2,0.7,150,197.68318549270177,230.5171806548159
8,2,0.7,300,174.21929233067095,221.13282447918786
9,2,0.7,500,154.76299130824037,217.44294800541584
10,2,0.1,50,324.8679789420221,335.0088150346487
11,2,0.1,100,284.61339094528734,297.3693038185336
12,2,0.1,150,262.22040535817536,276.12826943189765
13,2,0.1,300,233.02454803585755,250.6374207440606
14,2,0.1,500,217.24198176866705,238.07918331292618
15,2,0.12,50,312.6300476508126,322.6598889411504
16,2,0.12,100,272.32421697335445,285.0856283161534
17,2,0.12,150,250.86984238504462,265.457456821939
18,2,0.12,300,225.91034378954032,243.80414605994244
19,2,0.12,500,211.304838418761,233.0274517699077
20,2,0.15,50,297.8771634465006,307.9390385939581
21,2,0.15,100,259.8162978744642,273.136045410475
22,2,0.15,150,242.6707833364855,257.71027515921423
23,2,0.15,300,220.22132409000346,240.27948084608192
24,2,0.15,500,205.2907813305756,230.36205960072425
25,3,0.05,50,323.6172805709373,334.5910563895169
26,3,0.05,100,269.50768644945055,285.71357453032243
27,3,0.05,150,246.21352853388473,265.3348036378943
28,3,0.05,300,209.14220716796956,234.33425443752373
29,3,0.05,500,186.96330768576567,217.17166633090875
30,3,0.7,50,179.1424404007909,221.30437955081305
31,3,0.7,100,148.95270935510723,209.9320888471099
32,3,0.7,150,132.31801255014224,206.3961520756375
33,3,0.7,300,99.61457036410444,206.33173694076186
34,3,0.7,500,75.69529095718826,207.75565345111656
35,3,0.1,50,267.76620867526225,283.7822742896649
36,3,0.1,100,230.04474578701937,251.19194988696438
37,3,0.1,150,208.09202556830786,233.73477997170437
38,3,0.1,300,176.3780686067874,208.2261982826285
39,3,0.1,500,155.72198855650944,197.35924967065608
40,3,0.12,50,253.94201911550434,271.86656057645314
41,3,0.12,100,219.70108049189005,243.24385680720727
42,3,0.12,150,199.20865323022787,226.15186310765614
43,3,0.12,300,167.41661735694802,202.59126191406062
44,3,0.12,500,147.82985197171146,194.15611915400993
45,3,0.15,50,244.70097982215677,263.65061501486616
46,3,0.15,100,206.8276969135413,232.27318936088653
47,3,0.15,150,188.43004420784717,217.62007523774238
48,3,0.15,300,161.17743738852852,202.94667107379857
49,3,0.15,500,139.08906397847431,194.85879153030757
50,4,0.05,50,274.5642199212202,292.4590156589516
51,4,0.05,100,222.44291226100634,248.82064118052767
52,4,0.05,150,196.4756135491578,228.5738822734953
53,4,0.05,300,162.3947266665033,204.92109312391952
54,4,0.05,500,140.37190912505505,191.74315017044543
55,4,0.7,50,133.2992386115855,206.26843915576737
56,4,0.7,100,98.64473494495725,202.9317477122537
57,4,0.7,150,80.2254977543413,202.55927837437739
58,4,0.7,300,47.80613630885391,200.8077553216925
59,4,0.7,500,26.17328613164211,201.26894527541123
60,4,0.1,50,217.04555939557383,243.3073841788236
61,4,0.1,100,179.86527206003316,215.50919190268107
62,4,0.1,150,159.49019283613808,200.94685662714974
63,4,0.1,300,130.3236491502069,186.37675686034618
64,4,0.1,500,107.03621530747148,181.2742538382907
65,4,0.12,50,207.88192227866833,235.16139306081496
66,4,0.12,100,172.96385095480932,209.4101372431994
67,4,0.12,150,149.42302330023742,194.11008911506562
68,4,0.12,300,119.99272479399819,181.90097614815733
69,4,0.12,500,97.87718769911801,175.97051656834915
70,4,0.15,50,194.019039029539,225.9663879809262
71,4,0.15,100,160.9094983402049,203.70290419362755
72,4,0.15,150,141.5283325259046,192.48704013889636
73,4,0.15,300,109.78588065380134,181.05663761402505
74,4,0.15,500,87.92593583152997,178.52509064513634
75,5,0.05,50,241.18866099352667,264.5322573059064
76,5,0.05,100,183.24610394858468,217.01890575107166
77,5,0.05,150,159.40444744693707,200.9969981825019
78,5,0.05,300,125.22789753070978,181.93648156091385
79,5,0.05,500,105.43831667734167,173.92808045811717
80,5,0.7,50,98.62350795600148,206.82912420683135
81,5,0.7,100,61.69298900990337,211.12222866000883
82,5,0.7,150,44.475186063250035,211.6435757838566
83,5,0.7,300,17.054190390108175,212.30995455714822
84,5,0.7,500,5.607052344303127,211.96363245573534
85,5,0.1,50,182.51823073462947,218.2472578694479
86,5,0.1,100,143.41369761424426,192.36994882229448
87,5,0.1,150,124.4429560493086,182.10187766489543
88,5,0.1,300,92.54500231575425,171.6352697471573
89,5,0.1,500,69.78672577005892,169.13464148395173
90,5,0.12,50,173.44793724674682,209.81365044667686
91,5,0.12,100,137.46400886758107,186.24658415068885
92,5,0.12,150,118.39138439314513,178.31103260884254
93,5,0.12,300,84.85400401737236,170.6331062354657
94,5,0.12,500,60.81382955048049,166.8071118252609
95,5,0.15,50,158.40388476529333,201.3560543451155
96,5,0.15,100,124.64348079455343,183.42984988487788
97,5,0.15,150,103.38652132718134,176.13461157607242
98,5,0.15,300,72.80897377685363,169.30660184419241
99,5,0.15,500,50.26194583996396,167.47669274426065
100,6,0.05,50,208.99420814740975,240.19894391304797
101,6,0.05,100,153.0618805379796,199.44244095548038
102,6,0.05,150,127.65700499529882,183.9267054399694
103,6,0.05,300,97.75243124918198,170.8810323106431
104,6,0.05,500,74.51049069361018,163.93694752783213
105,6,0.7,50,66.18680891005317,208.40009718637927
106,6,0.7,100,35.27632657666188,208.72794519332825
107,6,0.7,150,19.611745978050877,209.17432117539747
108,6,0.7,300,3.9088026184828575,210.15040813501923
109,6,0.7,500,0.4624817070075662,211.90728072580157
110,6,0.1,50,148.14172172682603,196.37812612674722
111,6,0.1,100,111.23198346782627,176.3368145406215
112,6,0.1,150,91.81902132987942,169.144585878915
113,6,0.1,300,60.6627317285545,163.24120942343765
114,6,0.1,500,38.81491044523242,160.05190383550485
115,6,0.12,50,137.80021580814682,189.90779894180756
116,6,0.12,100,102.24413047498007,172.60013681603982
117,6,0.12,150,84.42440277767192,167.5277676943039
118,6,0.12,300,53.39733521699859,162.55170388609096
119,6,0.12,500,31.7176555217003,159.88107501634772
120,6,0.15,50,129.16855383745616,186.08701880276115
121,6,0.15,100,97.48022773582962,172.40780944725802
122,6,0.15,150,77.94771149283366,168.55206045334813
123,6,0.15,300,44.47962426538601,163.7540591354082
124,6,0.15,500,23.864071230020166,162.59565254647282
